# TerrainManager log started at 2025-09-23T13:41:20.8825337Z
2025-09-23T13:41:20.8825337Z [INFO] [Terrain][System] Terrain settings changed (VoxelSize 0→1 and chunkWorldSize (0.00, 0.00, 0.00)→(16.00, 16.00, 16.00)). Regenerating world...
2025-09-23T13:41:20.8854007Z [INFO] [Terrain][Regeneration] World regeneration: Cleaning up jobs...
2025-09-23T13:41:20.8864571Z [INFO] [Terrain][Regeneration] World regeneration: All jobs completed and resources disposed.
2025-09-23T13:41:21.1546750Z [INFO] [Terrain][System] Detailed terrain diagnostics will be written to C:/Users/anton/AppData/LocalLow/DefaultCompany/Tester\TerrainLogs\Terrain_20250923_134120.log
2025-09-23T13:41:21.1556742Z [INFO] [Terrain][System] TerrainManager enabled
2025-09-23T13:41:22.1415716Z [INFO] [Terrain][System] Start complete requestedMode=Hybrid runtimeMode=Hybrid chunkWorldSize=(16.00,16.00,16.00) voxelSize=1.000 loadDistance=64.0 maxChunksPerFrame=4
2025-09-23T13:41:22.1594591Z [INFO] [Terrain][Regeneration] World regeneration: Starting new terrain generation...
2025-09-23T13:41:24.0138231Z [INFO] [Terrain][ChunkLifecycle] action=create chunk=(-4,0,1) lod=0 source=new worldPos=(-64.00,0.00,16.00) voxels=16x16x16 sampleCount=4913
2025-09-23T13:41:24.0228484Z [INFO] [Terrain][VoxelGen] stage=queued mode=CPU chunk=(-4,0,1) lod=0 voxels=16x16x16 sampleCount=4913 biomeCount=1
2025-09-23T13:41:24.0244107Z [INFO] [Terrain][ChunkLifecycle] action=create chunk=(-4,1,1) lod=0 source=new worldPos=(-64.00,16.00,16.00) voxels=16x16x16 sampleCount=4913
2025-09-23T13:41:24.0244107Z [INFO] [Terrain][VoxelGen] stage=queued mode=CPU chunk=(-4,1,1) lod=0 voxels=16x16x16 sampleCount=4913 biomeCount=1
2025-09-23T13:41:24.0254845Z [INFO] [Terrain][ChunkLifecycle] action=create chunk=(-4,2,1) lod=0 source=new worldPos=(-64.00,32.00,16.00) voxels=16x16x16 sampleCount=4913
2025-09-23T13:41:24.0254845Z [INFO] [Terrain][VoxelGen] stage=queued mode=CPU chunk=(-4,2,1) lod=0 voxels=16x16x16 sampleCount=4913 biomeCount=1
2025-09-23T13:41:24.0254845Z [INFO] [Terrain][ChunkLifecycle] action=create chunk=(-4,0,2) lod=0 source=new worldPos=(-64.00,0.00,32.00) voxels=16x16x16 sampleCount=4913
2025-09-23T13:41:24.0260537Z [INFO] [Terrain][VoxelGen] stage=queued mode=CPU chunk=(-4,0,2) lod=0 voxels=16x16x16 sampleCount=4913 biomeCount=1
2025-09-23T13:41:24.0266102Z [INFO] [Terrain][ChunkLifecycle] action=create chunk=(-4,1,2) lod=0 source=new worldPos=(-64.00,16.00,32.00) voxels=16x16x16 sampleCount=4913
2025-09-23T13:41:24.0266102Z [INFO] [Terrain][VoxelGen] stage=queued mode=CPU chunk=(-4,1,2) lod=0 voxels=16x16x16 sampleCount=4913 biomeCount=1
