# TerrainManager log started at 2025-09-22T15:26:35.5127257Z
2025-09-22T15:26:35.5127257Z [INFO] [Terrain][System] Terrain settings changed (VoxelSize 0→1 and chunkWorldSize (0.00, 0.00, 0.00)→(16.00, 16.00, 16.00)). Regenerating world...
2025-09-22T15:26:35.5157389Z [INFO] [Terrain][Regeneration] World regeneration: Cleaning up jobs...
2025-09-22T15:26:35.5172460Z [INFO] [Terrain][Regeneration] World regeneration: All jobs completed and resources disposed.
2025-09-22T15:26:35.6564916Z [INFO] [Terrain][System] Detailed terrain diagnostics will be written to C:/Users/anton/AppData/LocalLow/DefaultCompany/Tester\TerrainLogs\Terrain_20250922_152635.log
2025-09-22T15:26:35.6564916Z [INFO] [Terrain][System] TerrainManager enabled
2025-09-22T15:26:36.4803899Z [INFO] [Terrain][System] Start complete requestedMode=CPU runtimeMode=CPU chunkWorldSize=(16.00,16.00,16.00) voxelSize=1.000 loadDistance=64.0 maxChunksPerFrame=4
2025-09-22T15:26:36.4971701Z [INFO] [Terrain][Regeneration] World regeneration: Starting new terrain generation...
2025-09-22T15:26:37.9008940Z [INFO] [Terrain][ChunkLifecycle] action=create chunk=(-4,0,-4) lod=0 source=new worldPos=(-64.00,0.00,-64.00) voxels=16x16x16 sampleCount=4913
2025-09-22T15:26:37.9109182Z [INFO] [Terrain][VoxelGen] stage=queued mode=CPU chunk=(-4,0,-4) lod=0 voxels=16x16x16 sampleCount=4913 biomeCount=1
2025-09-22T15:26:37.9119177Z [INFO] [Terrain][ChunkLifecycle] action=create chunk=(-4,1,-4) lod=0 source=new worldPos=(-64.00,16.00,-64.00) voxels=16x16x16 sampleCount=4913
2025-09-22T15:26:37.9119177Z [INFO] [Terrain][VoxelGen] stage=queued mode=CPU chunk=(-4,1,-4) lod=0 voxels=16x16x16 sampleCount=4913 biomeCount=1
2025-09-22T15:26:37.9119177Z [INFO] [Terrain][ChunkLifecycle] action=create chunk=(-4,2,-4) lod=0 source=new worldPos=(-64.00,32.00,-64.00) voxels=16x16x16 sampleCount=4913
2025-09-22T15:26:37.9119177Z [INFO] [Terrain][VoxelGen] stage=queued mode=CPU chunk=(-4,2,-4) lod=0 voxels=16x16x16 sampleCount=4913 biomeCount=1
2025-09-22T15:26:37.9129171Z [INFO] [Terrain][ChunkLifecycle] action=create chunk=(-4,0,-3) lod=0 source=new worldPos=(-64.00,0.00,-48.00) voxels=16x16x16 sampleCount=4913
2025-09-22T15:26:37.9129171Z [INFO] [Terrain][VoxelGen] stage=queued mode=CPU chunk=(-4,0,-3) lod=0 voxels=16x16x16 sampleCount=4913 biomeCount=1
2025-09-22T15:26:37.9129171Z [INFO] [Terrain][ChunkLifecycle] action=create chunk=(-4,1,-3) lod=0 source=new worldPos=(-64.00,16.00,-48.00) voxels=16x16x16 sampleCount=4913
2025-09-22T15:26:37.9129171Z [INFO] [Terrain][VoxelGen] stage=queued mode=CPU chunk=(-4,1,-3) lod=0 voxels=16x16x16 sampleCount=4913 biomeCount=1
2025-09-22T15:26:37.9139182Z [INFO] [Terrain][ChunkLifecycle] action=create chunk=(-4,2,-3) lod=0 source=new worldPos=(-64.00,32.00,-48.00) voxels=16x16x16 sampleCount=4913
