# TerrainManager log started at 2025-09-22T15:28:03.0942795Z
2025-09-22T15:28:03.0942795Z [INFO] [Terrain][System] Terrain settings changed (VoxelSize 0→1 and chunkWorldSize (0.00, 0.00, 0.00)→(16.00, 16.00, 16.00)). Regenerating world...
2025-09-22T15:28:03.0966299Z [INFO] [Terrain][Regeneration] World regeneration: Cleaning up jobs...
2025-09-22T15:28:03.0992349Z [INFO] [Terrain][Regeneration] World regeneration: All jobs completed and resources disposed.
2025-09-22T15:28:03.2394717Z [INFO] [Terrain][System] Detailed terrain diagnostics will be written to C:/Users/anton/AppData/LocalLow/DefaultCompany/Tester\TerrainLogs\Terrain_20250922_152803.log
2025-09-22T15:28:03.2409956Z [INFO] [Terrain][System] TerrainManager enabled
2025-09-22T15:28:04.0596673Z [INFO] [Terrain][System] Start complete requestedMode=Hybrid runtimeMode=Hybrid chunkWorldSize=(16.00,16.00,16.00) voxelSize=1.000 loadDistance=64.0 maxChunksPerFrame=4
2025-09-22T15:28:04.0778023Z [INFO] [Terrain][Regeneration] World regeneration: Starting new terrain generation...
2025-09-22T15:28:05.5212802Z [INFO] [Terrain][ChunkLifecycle] action=create chunk=(-4,0,-4) lod=0 source=new worldPos=(-64.00,0.00,-64.00) voxels=16x16x16 sampleCount=4913
2025-09-22T15:28:05.5275084Z [INFO] [Terrain][VoxelGen] stage=queued mode=CPU chunk=(-4,0,-4) lod=0 voxels=16x16x16 sampleCount=4913 biomeCount=1
2025-09-22T15:28:05.5275084Z [INFO] [Terrain][ChunkLifecycle] action=create chunk=(-4,1,-4) lod=0 source=new worldPos=(-64.00,16.00,-64.00) voxels=16x16x16 sampleCount=4913
2025-09-22T15:28:05.5275084Z [INFO] [Terrain][VoxelGen] stage=queued mode=CPU chunk=(-4,1,-4) lod=0 voxels=16x16x16 sampleCount=4913 biomeCount=1
2025-09-22T15:28:05.5275084Z [INFO] [Terrain][ChunkLifecycle] action=create chunk=(-4,2,-4) lod=0 source=new worldPos=(-64.00,32.00,-64.00) voxels=16x16x16 sampleCount=4913
2025-09-22T15:28:05.5275084Z [INFO] [Terrain][VoxelGen] stage=queued mode=CPU chunk=(-4,2,-4) lod=0 voxels=16x16x16 sampleCount=4913 biomeCount=1
2025-09-22T15:28:05.5275084Z [INFO] [Terrain][ChunkLifecycle] action=create chunk=(-4,0,-3) lod=0 source=new worldPos=(-64.00,0.00,-48.00) voxels=16x16x16 sampleCount=4913
2025-09-22T15:28:05.5290141Z [INFO] [Terrain][VoxelGen] stage=queued mode=CPU chunk=(-4,0,-3) lod=0 voxels=16x16x16 sampleCount=4913 biomeCount=1
2025-09-22T15:28:05.5290141Z [INFO] [Terrain][ChunkLifecycle] action=create chunk=(-4,1,-3) lod=0 source=new worldPos=(-64.00,16.00,-48.00) voxels=16x16x16 sampleCount=4913
2025-09-22T15:28:05.5290141Z [INFO] [Terrain][VoxelGen] stage=queued mode=CPU chunk=(-4,1,-3) lod=0 voxels=16x16x16 sampleCount=4913 biomeCount=1
2025-09-22T15:28:05.5290141Z [INFO] [Terrain][ChunkLifecycle] action=create chunk=(-4,2,-3) lod=0 source=new worldPos=(-64.00,32.00,-48.00) voxels=16x16x16 sampleCount=4913
2025-09-22T15:28:05.5290141Z [INFO] [Terrain][VoxelGen] stage=queued mode=CPU chunk=(-4,2,-3) lod=0 voxels=16x16x16 sampleCount=4913 biomeCount=1
2025-09-22T15:28:05.5300210Z [INFO] [Terrain][ChunkLifecycle] action=create chunk=(-4,0,-2) lod=0 source=new worldPos=(-64.00,0.00,-32.00) voxels=16x16x16 sampleCount=4913
2025-09-22T15:28:05.5300210Z [INFO] [Terrain][VoxelGen] stage=queued mode=CPU chunk=(-4,0,-2) lod=0 voxels=16x16x16 sampleCount=4913 biomeCount=1
2025-09-22T15:28:05.5300210Z [INFO] [Terrain][ChunkLifecycle] action=create chunk=(-4,1,-2) lod=0 source=new worldPos=(-64.00,16.00,-32.00) voxels=16x16x16 sampleCount=4913
2025-09-22T15:28:05.5300210Z [INFO] [Terrain][VoxelGen] stage=queued mode=CPU chunk=(-4,1,-2) lod=0 voxels=16x16x16 sampleCount=4913 biomeCount=1
2025-09-22T15:28:05.5300210Z [INFO] [Terrain][ChunkLifecycle] action=create chunk=(-4,2,-2) lod=0 source=new worldPos=(-64.00,32.00,-32.00) voxels=16x16x16 sampleCount=4913
2025-09-22T15:28:05.5300210Z [INFO] [Terrain][VoxelGen] stage=queued mode=CPU chunk=(-4,2,-2) lod=0 voxels=16x16x16 sampleCount=4913 biomeCount=1
2025-09-22T15:28:05.5300210Z [INFO] [Terrain][ChunkLifecycle] action=create chunk=(-4,0,-1) lod=0 source=new worldPos=(-64.00,0.00,-16.00) voxels=16x16x16 sampleCount=4913
2025-09-22T15:28:05.5300210Z [INFO] [Terrain][VoxelGen] stage=queued mode=CPU chunk=(-4,0,-1) lod=0 voxels=16x16x16 sampleCount=4913 biomeCount=1
2025-09-22T15:28:05.5300210Z [INFO] [Terrain][ChunkLifecycle] action=create chunk=(-4,1,-1) lod=0 source=new worldPos=(-64.00,16.00,-16.00) voxels=16x16x16 sampleCount=4913
2025-09-22T15:28:05.5310212Z [INFO] [Terrain][VoxelGen] stage=queued mode=CPU chunk=(-4,1,-1) lod=0 voxels=16x16x16 sampleCount=4913 biomeCount=1
2025-09-22T15:28:05.5310212Z [INFO] [Terrain][ChunkLifecycle] action=create chunk=(-4,2,-1) lod=0 source=new worldPos=(-64.00,32.00,-16.00) voxels=16x16x16 sampleCount=4913
2025-09-22T15:28:05.5310212Z [INFO] [Terrain][VoxelGen] stage=queued mode=CPU chunk=(-4,2,-1) lod=0 voxels=16x16x16 sampleCount=4913 biomeCount=1
2025-09-22T15:28:05.5310212Z [INFO] [Terrain][ChunkLifecycle] action=create chunk=(-4,0,0) lod=0 source=new worldPos=(-64.00,0.00,0.00) voxels=16x16x16 sampleCount=4913
2025-09-22T15:28:05.5310212Z [INFO] [Terrain][VoxelGen] stage=queued mode=CPU chunk=(-4,0,0) lod=0 voxels=16x16x16 sampleCount=4913 biomeCount=1
2025-09-22T15:28:05.5310212Z [INFO] [Terrain][ChunkLifecycle] action=create chunk=(-4,1,0) lod=0 source=new worldPos=(-64.00,16.00,0.00) voxels=16x16x16 sampleCount=4913
2025-09-22T15:28:05.5310212Z [INFO] [Terrain][VoxelGen] stage=queued mode=CPU chunk=(-4,1,0) lod=0 voxels=16x16x16 sampleCount=4913 biomeCount=1
